icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit;comment;Formel
🔧;tool;version;;;;;scenario_version;1;Tool Version;text;;
🔧;tool;input version;;;;;input_version_number;1;Inputdatenstruktur Version;text;;
;tool;input version date;;;;;input_version_date;;Inputdatenstruktur Datum;date;;
🔧;declaration;fPE;;;;;cfd_fPE;1;Primärenergiefaktor;kWhPE/kWhEE;;
🔧;declaration;A;;;;;cfd_A;1;Ausnutzungsfaktor Erneuerbare;kWhEE/m²GF;;
🔧;declaration;dx;;;;;cfd_dx;1;Skalierungsfaktor;-;;
🔧;declaration;EUI;;;;;cfd_EUI;1;Energieintensität Bedarf;kWhEE/m²NGFa;Energy End Use Intensity;
🔧;declaration;cutoff;;;;;cfd_cutoff;1;Maximum;kWhPE/m²NGFa;;
🔧;declaration;context factor;;;mobility;;cfm_budget_residential;1;Mobilitätsbudget Wohnen;kWhPE/m²NGFa;;
🔧;declaration;context factor;;;mobility;;cfm_budget_office;1;Mobilitätsbudget Büro;kWhPE/m²NGFa;;
🔧;declaration;context factor;;;mobility;;cfm_budget_school;1;Mobilitätsbudget Ausbildung;kWhPE/m²NGFa;;
🔧;declaration;context factor;;;mobility;;cfm_budget_retail;1;Mobilitätsbudget Handel + Sonstige;kWhPE/m²NGFa;;
🔧;declaration;context factor;;;;;cfr_budget;1;Kontextfaktor Sanierung;kWhPE/m²NGFa;;
📝;project;name;;;;;project_name;2;Projektname;text;;🏙️!$D$5
📝;project;url;;;;;project_url;2;ProjektURL;text;;🏙️!D6
📝;project;address;;;;;location_address;2;Adresse;text;;🏙️!$D$12
📝;project;municipality;;;;;municipality_name;2;Gemeinde;text;;🏙️!D14
📝;project;created;;;;;project_creation_date;2;Erstellungsdatum;date;;🏙️!$D$7
📝;project;description;;;;;project_description;2;Projektbeschreibung;text;;🏙️!D8
📝;project;scenario_name;;;;;project_scenario_name;2;Variante / Scenario;text;;🏙️!D9
📝;project;postcode;;;;;location_postcode;2;Postleitzahl;text;;🏙️!$D$15
📝;declaration;mobility_mode;;;;;mobility_mode;1;Mobilitätsverfahren;text;;
🌦️;weather;name;;;;;weather_name;2;Wetterdatensatz Name;text;;🏙️!$D$19
🌦️;weather;index;;;;;weather_index;0;Wetterdatensatz Nummer;int;;"VERGLEICH(N28;list_weathers;0)"
🏙️;usage;area;GFA;;usage;residential;GFA_residential;2;BGF Wohnen;m²;;🏙️!D28
🏙️;usage;area;GFA;;usage;office;GFA_office;2;BGF Büro;m²;;🏙️!D29
🏙️;usage;area;GFA;;usage;schoolsec;GFA_schoolsec;2;BGF Bildung sekundär;m²;;🏙️!D30
